fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,updated_at,owner_type_code,federal_agency_id,federal_agency_name,open_date,hydrogen_status_link,ng_vehicle_class,lpg_primary,e85_blender_pump,ev_connector_types,country,intersection_directions_french,access_days_time_french,bd_blends_french,groups_with_access_code_french,hydrogen_is_retail,access_code,access_detail_code,federal_agency_code,facility_type,cng_dispenser_num,cng_on_site_renewable_source,cng_total_compression_capacity,cng_storage_capacity,lng_on_site_renewable_source,e85_other_ethanol_blends,ev_pricing,ev_pricing_french,lpg_nozzle_types,hydrogen_pressures,hydrogen_standards,cng_fill_type_code,cng_psi,cng_vehicle_class,lng_vehicle_class,ev_on_site_renewable_source,restricted_access,rd_blends,rd_blends_french,rd_blended_with_biodiesel,rd_maximum_biodiesel_level,nps_unit_name,cng_station_sells_renewable_natural_gas,lng_station_sells_renewable_natural_gas,maximum_vehicle_class,ev_workplace_charging,funding_sources
ELEC,Sample Station 1,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24742743947793,-118.38739690563204,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,MD,True,
ELEC,Sample Station 2,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Public,5:30am-9pm; pay lot,,,,,,8.0,,,Non-Networked,,GPS,34.03994070393438,-118.27120077866583,2025-12-12,1523,2026-02-02 23:16:24 UTC,P,999,Confidential Government Agency,1995-08-30,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,PARKING_GARAGE,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Sample Station 3,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet and employee use only,,,,,,379.0,15.0,,Non-Networked,,GPS,34.059704477343935,-118.2485238491992,2025-11-13,1525,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 4,123 Sample Street,Directions hidden for privacy,Long Beach,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,31.0,,,Non-Networked,,GPS,33.76063284767558,-118.09697365523213,2025-11-13,1531,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,2018-05-01,,,,,J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 5,123 Sample Street,Directions hidden for privacy,Wilmington,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,12.0,,,Non-Networked,,200-8,33.771376965126905,-118.26486110430235,2025-11-13,1552,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 6,123 Sample Street,Directions hidden for privacy,Sylmar,CA,00000,0000,555-0100,E,,Private - Government only,For fleet use only,,,,,,9.0,,,Non-Networked,,200-8,34.30270280888148,-118.48040879799692,2025-11-13,1556,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,2016-01-01,,,,,J1772,US,Directions masquees,,,Privé - Réservé au gouvernement,,RESTRICTED,GOVERNMENT,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,LD,False,
ELEC,Sample Station 7,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet and employee use only,,,,,,43.0,1.0,,Non-Networked,,200-8,34.066378414038695,-118.2267515654718,2025-11-13,1572,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 8,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,14.0,,,Non-Networked,,200-8,34.036599317647784,-118.36828516545857,2025-11-13,1573,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,2019-04-01,,,,,J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,MD,False,
ELEC,Sample Station 9,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,35.0,1.0,,Non-Networked,,GPS,34.03908175642403,-118.23696072315273,2025-11-13,1589,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 10,123 Sample Street,Directions hidden for privacy,La Jolla,CA,00000,0000,555-0100,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,32.89993962452923,-117.24326060521264,2026-07-15,6355,2026-07-15 18:43:06 UTC,P,999,Confidential Government Agency,1997-07-30,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,HOSPITAL,,,,,,,REDACTED_PRICING,PRIX_REDACTE,,,,,,,,,False,,,,,,,,,False,
