seq,name,latitude,longitude
1,Downtown LA,34.055361036628184,-118.24899723131084
2,Walnut Islands,34.0679834663164,-117.84116645473445
3,Brentwood,34.152780314949986,-117.47562176705368
4,Hesperia,34.373649596913296,-117.42176258897697
5,Bell Mountain,34.66253436087464,-117.21109685643025
6,Barstow,34.90867389347446,-116.97003394829612
7,Manix,35.00325607810215,-116.55238129401349
8,Beacon Station,35.170535622527964,-116.17572004081761
9,Halloran Springs,35.380578736563066,-115.85926411786826
10,Mountain Pass,35.469202390152724,-115.46010191679933
11,Jean,35.80677850243415,-115.30821563727896
12,Paradise,36.12122514561722,-115.17980145637618
13,Las Vegas,36.17167678992852,-115.13923792966875
