Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Sample Station 1,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24909386334423,-118.38761699033425,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,
ELEC,Sample Station 2,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Public,5:30am-9pm; pay lot,,,,,,8.0,,,Non-Networked,,GPS,34.0397029501017,-118.27213701690897,2025-12-12,1523,2026-02-02 23:16:24 UTC,P,999,Confidential Government Agency,1995-08-30,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Sample Station 3,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet and employee use only,,,,,,379.0,15.0,,Non-Networked,,GPS,34.05855495370185,-118.24854073857897,2025-11-13,1525,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 4,123 Sample Street,Directions hidden for privacy,Long Beach,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,31.0,,,Non-Networked,,GPS,33.75967717340816,-118.0966053930118,2025-11-13,1531,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,2018-05-01,,,,,J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 5,123 Sample Street,Directions hidden for privacy,Wilmington,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,12.0,,,Non-Networked,,200-8,33.76978396924011,-118.2658514575026,2025-11-13,1552,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 6,123 Sample Street,Directions hidden for privacy,Sylmar,CA,00000,0000,555-0100,E,,Private - Government only,For fleet use only,,,,,,9.0,,,Non-Networked,,200-8,34.30399000902461,-118.48012544353804,2025-11-13,1556,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,2016-01-01,,,,,J1772,US,Directions masquees,,,Privé - Réservé au gouvernement,,RESTRICTED,GOVERNMENT,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,False,
ELEC,Sample Station 7,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet and employee use only,,,,,,43.0,1.0,,Non-Networked,,200-8,34.06684331244083,-118.22713444316919,2025-11-13,1572,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 8,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,14.0,,,Non-Networked,,200-8,34.03702583671918,-118.36901077420131,2025-11-13,1573,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,2019-04-01,,,,,J1772,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,Free,,,,,,,,,,,,,,,,,,MD,False,
ELEC,Sample Station 9,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,35.0,1.0,,Non-Networked,,GPS,34.03888178319283,-118.23513305949373,2025-11-13,1589,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,True,
ELEC,Sample Station 10,123 Sample Street,Directions hidden for privacy,La Jolla,CA,00000,0000,555-0100,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,32.90031008249695,-117.24316838464487,2026-07-15,6355,2026-07-15 18:43:06 UTC,P,999,Confidential Government Agency,1997-07-30,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,HOSPITAL,,,,,,,Free; parking fee,,,,,,,,,,False,,,,,,,,,False,
ELEC,Sample Station 11,123 Sample Street,Directions hidden for privacy,Sepulveda,CA,00000,0000,555-0100,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2.0,,,Non-Networked,,200-9,34.22195988864517,-118.46854456508899,2025-06-06,6405,2026-02-02 23:16:24 UTC,P,999,Confidential Government Agency,2012-12-11,,,,,J1772,US,Directions masquees,,,Public - Appeler à l'avance,,RESTRICTED,CALL,GOV-999,CAR_DEALER,,,,,,,Free,,,,,,,,,,True,,,,,,,,MD,False,
ELEC,Sample Station 12,123 Sample Street,Directions hidden for privacy,Pasadena,CA,00000,0000,555-0100,E,,Public,24 hours daily; pay lot,CREDIT,,,,,26.0,,,Non-Networked,,200-8,34.14769614039897,-118.1469532049777,2025-06-06,6505,2026-05-11 13:12:34 UTC,LG,999,Confidential Government Agency,2014-01-20,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Sample Station 13,123 Sample Street,Directions hidden for privacy,Pasadena,CA,00000,0000,555-0100,E,,Public,24 hours daily; pay lot,CREDIT,,,,,3.0,,,Non-Networked,,GPS,34.14515763863043,-118.15356190458353,2025-06-06,6506,2026-05-11 13:12:34 UTC,LG,999,Confidential Government Agency,1997-08-30,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Sample Station 14,123 Sample Street,Directions hidden for privacy,Pasadena,CA,00000,0000,555-0100,E,,Public,24 hours daily; pay lot,CREDIT,,,,,3.0,,,Non-Networked,,GPS,34.14567429378098,-118.14981523729385,2025-06-06,6507,2026-05-11 13:12:34 UTC,LG,999,Confidential Government Agency,1997-08-30,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,PARKING_GARAGE,,,,,,,"$1 for the first two hours, $2 each additional hour",,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Sample Station 15,123 Sample Street,Directions hidden for privacy,South Pasadena,CA,00000,0000,555-0100,T,2026-03-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,,,1 LP Inductive,Non-Networked,,200-9,34.119284703602595,-118.14988652747795,2025-12-12,6509,2026-02-02 23:16:24 UTC,P,999,Confidential Government Agency,1997-08-31,,,,,,US,Directions masquees,,,TEMPORAIREMENT SUSPENDU (Public),,RESTRICTED,,GOV-999,GROCERY,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Sample Station 16,123 Sample Street,Directions hidden for privacy,Long Beach,CA,00000,0000,555-0100,E,,Public,24 hours daily; pay lot; guest use only; see valet for access,,,,,,1.0,,,Non-Networked,,GPS,33.76424215869408,-118.19153334965748,2025-06-06,7172,2026-02-02 23:16:24 UTC,P,999,Confidential Government Agency,2012-05-04,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,HOTEL,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Sample Station 17,123 Sample Street,Directions hidden for privacy,Los Angeles,CA,00000,0000,555-0100,E,,Public,24 hours daily; pay lot,,,,,,20.0,,,Non-Networked,,GPS,33.94298903489537,-118.40383520825927,2024-08-15,7184,2026-05-07 19:25:10 UTC,LG,999,Confidential Government Agency,1998-06-30,,,,,J1772,US,Directions masquees,,,Public,,RESTRICTED,,GOV-999,AIRPORT,,,,,,,$2 service fee + $0.45 per kWh,,,,,,,,,,False,,,,,,,,LD,False,
