Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV J1772 Connector Count,EV J1772 Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW),EV J3271 Connector Count,EV J3271 Power Output (kW),Snapshot Date
ELEC,Sample Station 1,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24918394246413,-118.3886995470353,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,0,,1,70.0,1,70.0,0,,0,,2026-09-06
ELEC,Sample Station 2,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24891209800136,-118.3870593141594,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 3,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.249125038950034,-118.38783003999733,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 4,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.249080253348076,-118.38766151206994,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 5,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.248729196755036,-118.3873106739243,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 6,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24841647734821,-118.38750534263384,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 7,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24860809901512,-118.38714768307425,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 8,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.2488418092208,-118.38869595232767,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 9,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24743623375443,-118.3882730511336,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
ELEC,Sample Station 10,123 Sample Street,Directions hidden for privacy,Sun Valley,CA,00000,0000,555-0100,E,,Private,For fleet use only,,,,,,57.0,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24764384203674,-118.38770516975332,2025-11-13,1517,2026-08-07 18:57:47 UTC,LG,999,Confidential Government Agency,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,Directions masquees,,,Privé,,RESTRICTED,,GOV-999,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,MD,True,,1,,0,,0,,0,,0,,2026-09-06
