STATION_NAME,LATITUDE,LONGITUDE,MODEL,YEAR_START,YEAR_END,SCENARIO
"BOA LA Chinatown CA9-167 (Los Angeles, CA)",34.063310000000000,-118.23718000000000,Kona Electric,2019,2025,native only
Friendly Ford Body Shop,36.189116000000000,-115.20506200000000,Ioniq 5 N,2025,2025,native only
"Henderson, NV - Paseo Verde Parkway - Tesla Supercharger",36.022121000000000,-115.08922800000000,Ioniq 5 N,2026,2026,native only
"Ontario, CA - Ontario Mills Pkwy - Tesla Supercharger",34.068955000000000,-117.55628500000000,Ioniq 5 N,2026,2026,native only
"Las Vegas, NV - East Sahara Avenue - Tesla Supercharger",36.145396000000000,-115.10297800000000,Ioniq 5 N,2026,2026,native only
"Vernon, CA - E 25th St - Tesla Supercharger",34.014266000000000,-118.23827100000000,Ioniq 5,2025,2026,native only
7Charge - Covina 22548,34.086890000000000,-117.92584000000000,Ioniq 5 N,2025,2025,native only
City of Los Angeles Lot 675,34.103853000000000,-118.29105200000000,Ioniq 5 N,2025,2025,native only
Barstow - Coral Charge,34.891277870000000,-117.00371410000000,Ioniq 5 N,2025,2025,native only
Sheraton Universal Hotel DC,34.137527400000000,-118.36003140000000,Ioniq 6,2022,2025,native only
CITY_OF_VERNON 1850 E25TH-3,34.014481000000000,-118.23795800000000,Ioniq 5 N,2026,2026,native only
"Ontario, CA - Mills Circle - Tesla Supercharger",34.071708000000000,-117.55616000000000,Ioniq 9,2026,,native only
Diamond Hills Plaza,33.975996600000000,-117.83810960000000,Ioniq 5 N,2025,2025,native only
Vons #2261 3rd St.,34.070012400000000,-118.29028300000000,Ioniq 5 N,2025,2025,native only
B&D PROP MGMT 2645 ST ROSE,36.014271000000000,-115.10318500000000,Kona Electric,2019,2025,native only
LOVE'S 374 - CA #374 DC2,34.856808000000000,-117.09186500000000,Kona Electric,2019,2025,native only
Motel 6 Chino,34.031418000000000,-117.69093210000000,Ioniq 5,2022,2024,native only
"Barstow, CA - 1503 East Main Street - Tesla Supercharger",34.893641000000000,-117.00244400000000,Ioniq 5 N,2026,2026,native only
"Montebello, CA - N Wilcox Ave - Tesla Supercharger",34.031001000000000,-118.12593500000000,Ioniq 5,2025,2026,native only
7-ELEVEN 20101 POMNA DC2,34.067350000000000,-117.71904000000000,Ioniq 6,2022,2025,native only
"Walmart 2838 (Henderson, NV)",36.062080000000000,-115.03353000000000,Ioniq 5 N,2025,2025,native only
"Barstow, CA",34.851349000000000,-117.08257800000000,Ioniq 5,2022,2024,native only
North Las Vegas Rechargery Relay - W Centennial Pkwy,36.276117000000000,-115.17951200000000,Ioniq 6,2022,2025,native only
"BOA LA Chinatown CA9-167 (Los Angeles, CA)",34.063310000000000,-118.23718000000000,Ioniq 5,2022,2024,native only
CITY_OF_VERNON 3805 SOTO-10,34.008061000000000,-118.22000100000000,Kona Electric,2019,2025,native only
Cadillac of Las Vegas,36.143709000000000,-115.21176200000000,Ioniq 5,2022,2024,native only
Friendly Ford,36.178163000000000,-115.20558200000000,Ioniq 5 N,2025,2025,native only
3530 West Century Blvd,33.944524100000000,-118.33324560000000,Kona Electric,2019,2025,native only
99 Ranch Chino Hills,34.010479900000000,-117.74055430000000,Ioniq 5,2025,2026,native only
Covina Town Square,34.105800000000000,-117.90569000000000,Kona Electric,2019,2025,native only
"Walmart 5154 (Rosemead, CA)",34.050900000000000,-118.08359000000000,Ioniq 5,2022,2024,native only
Foothill Presbyterian Hospital - DC,34.132921700000000,-117.87035030000000,Ioniq 6,2022,2025,native only
"Walmart 5154 (Rosemead, CA)",34.050900000000000,-118.08359000000000,Kona Electric,2019,2025,native only
Victoria Gardens,34.112867000000000,-117.53342300000000,Ioniq 5 N,2025,2025,native only
Resort World Las Vegas,36.135200000000000,-115.16760000000000,Ioniq 5 N,2025,2025,native only
Caltrans - Valley Wells Rest Area - Northbound,35.434023000000000,-115.69926700000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 1850 E25TH-7,34.014426000000000,-118.23804700000000,Ioniq 9,2026,,native only
Amna,34.063190000000000,-118.23265000000000,Ioniq 5 N,2025,2025,native only
LADWP - John Ferraro Building,34.059133000000000,-118.24858900000000,Ioniq 5,2022,2024,native only
CITY_OF_VERNON 3805 SOTO-3,34.007876000000000,-118.21990100000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-3,34.007876000000000,-118.21990100000000,Ioniq 9,2026,,native only
"Costco Chino Hills (Chino Hills, CA)",34.015310000000000,-117.74286000000000,Ioniq 5,2022,2024,native only
"Westfield Culver City (Culver City, CA)",33.986880000000000,-118.39429000000000,Ioniq 6,2022,2025,native only
7-ELEVEN 20101 POMNA DC2,34.067350000000000,-117.71904000000000,Ioniq 5 N,2026,2026,native only
Barlow Respiratory Hospital,34.074594000000000,-118.24769900000000,Ioniq 6,2022,2025,native only
"Las Vegas, NV - Arroyo Crossing Parkway - Tesla Supercharger",36.062251000000000,-115.25172100000000,Ioniq 5,2025,2026,native only
El Centro,34.101510000000000,-118.32467000000000,Ioniq 6,2022,2025,native only
"Jurupa Valley, CA - Tesla Supercharger",34.012541000000000,-117.46064800000000,Ioniq 9,2026,,native only
Friendly Ford Body Shop,36.189116000000000,-115.20506200000000,Ioniq 5,2022,2024,native only
GF4EVA VVILLE M6 DC2,34.556316000000000,-117.28995600000000,Ioniq 5 N,2025,2025,native only
Friendly Ford,36.178163000000000,-115.20558200000000,Kona Electric,2019,2025,native only
Winterwood Pavilion,36.146180000000000,-115.06522000000000,Ioniq 5 N,2026,2026,native only
FH DELIVERY 121A4 FH SVC,34.133796000000000,-117.43710300000000,Ioniq 5,2022,2024,native only
IN-N-OUT ATLANTIC 01,33.977780000000000,-118.18719400000000,Ioniq 9,2026,,native only
WinCo Foods - Pomona #57,34.027210000000000,-117.76206000000000,Ioniq 5 N,2025,2025,native only
City of Los Angeles Lot 702,34.100570000000000,-118.32733900000000,Ioniq 6,2022,2025,native only
City of Los Angeles Lot 670,34.102558000000000,-118.33434900000000,Ioniq 5 N,2026,2026,native only
7Charge - Covina 22548,34.086890000000000,-117.92584000000000,Ioniq 6,2022,2025,native only
SCAQMD Offices,34.001519000000000,-117.83051900000000,Ioniq 5 N,2025,2025,native only
"Ontario, CA - N Haven Ave - Tesla Supercharger",34.076981000000000,-117.57431100000000,Ioniq 5,2025,2026,native only
SCPPA SCPPA CPE200T,34.118106000000000,-117.82245700000000,Ioniq 6,2022,2025,native only
Inglewood City Hall,33.962406000000000,-118.35363500000000,Kona Electric,2019,2025,native only
California Institute of Technology - California Parking Structure,34.134066000000000,-118.12636300000000,Ioniq 5 N,2025,2025,native only
ONTARIO 76 CHARGER 2,34.063302000000000,-117.61153300000000,Ioniq 6,2022,2025,native only
"Montebello, CA - N Wilcox Ave - Tesla Supercharger",34.031001000000000,-118.12593500000000,Ioniq 5 N,2026,2026,native only
Solair Wilshire,34.061876900000000,-118.30862790000000,Ioniq 6,2022,2025,native only
WLCAC,33.936653700000000,-118.25362400000000,Ioniq 6,2022,2025,native only
"Inglewood, CA - Tesla Supercharger",33.944904000000000,-118.33438400000000,Ioniq 9,2026,,native only
"Las Vegas, NV - 3528 South Maryland Parkway - Tesla Supercharger",36.125754000000000,-115.13462200000000,Ioniq 5 N,2026,2026,native only
"Las Vegas, NV - Arroyo Crossing Parkway - Tesla Supercharger",36.062251000000000,-115.25172100000000,Ioniq 5 N,2026,2026,native only
"Las Vegas, NV - South Decatur Boulevard - Tesla Supercharger",36.171532000000000,-115.20723300000000,Ioniq 5,2025,2026,native only
"Upland, CA - Arrow Rte - Tesla Supercharger",34.099154000000000,-117.70019200000000,Ioniq 5,2025,2026,native only
660 Mateo Parking Lot,34.035930000000000,-118.23231000000000,Ioniq 5 N,2025,2025,native only
"Ralphs 32 (Los Angeles, CA)",34.068540000000000,-118.29112000000000,Ioniq 5,2022,2024,native only
"Las Vegas, NV",36.066487600000000,-115.17950700000000,Ioniq 6,2022,2025,native only
"Ontario, CA - Ontario Mills Pkwy - Tesla Supercharger",34.068955000000000,-117.55628500000000,Ioniq 9,2026,,native only
City National Plaza,34.052093700000000,-118.25523390000000,Ioniq 6,2022,2025,native only
Metro Nissan of Montclair,34.082222000000000,-117.69490300000000,Ioniq 5,2022,2024,native only
CITY_OF_VERNON 1850 E25TH-9,34.014385000000000,-118.23808800000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 1850 E25TH-7,34.014426000000000,-118.23804700000000,Ioniq 5 N,2025,2025,native only
FINDLAY AUTO ABB STATION2,36.143749000000000,-115.21425500000000,Ioniq 5 N,2025,2025,native only
7-ELEVEN 20101 POMNA DC2,34.067350000000000,-117.71904000000000,Ioniq 9,2026,,native only
7-ELEVEN 20101 POMNA DC1,34.067274000000000,-117.71905700000000,Ioniq 6,2022,2025,native only
The Mall of Victor Valley,34.472906000000000,-117.35014200000000,Kona Electric,2019,2025,native only
5420 Sunset - Tesla Supercharger (5420 Sunset),34.096946130000000,-118.30766880000000,Ioniq 6,2026,,native only
CITY_OF_VERNON 1850 E25TH-1,34.014503000000000,-118.23790700000000,Ioniq 5,2022,2024,native only
El Centro,34.101510000000000,-118.32467000000000,Ioniq 5,2022,2024,native only
City of Los Angeles Lot 639,34.108426000000000,-118.19387300000000,Ioniq 5,2022,2024,native only
"Glendale, CA - N Glendale Ave - Tesla Supercharger",34.149535700000000,-118.24781960000000,Ioniq 5 N,2026,2026,native only
L344 3RD FLOOR MBZ,34.035409000000000,-118.27229600000000,Kona Electric,2019,2025,native only
"Henderson, NV - Paseo Verde Parkway - Tesla Supercharger",36.022121000000000,-115.08922800000000,Ioniq 5,2025,2026,native only
Tesla Diner - Tesla Supercharger,34.091268000000000,-118.34221500000000,Ioniq 5 N,2026,2026,native only
Team Ford,36.259310000000000,-115.24797700000000,Ioniq 5,2022,2024,native only
Sunset Studios,34.097298464012000,-118.31692890366400,Ioniq 6,2022,2025,native only
CITY_OF_VERNON 3805 SOTO-9,34.008059000000000,-118.21997600000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-9,34.008059000000000,-118.21997600000000,Ioniq 6,2022,2025,native only
CITY_OF_VERNON 3805 SOTO-2,34.007973000000000,-118.22009600000000,Ioniq 5,2025,2026,native only
Emser International,34.063430000000000,-118.36870000000000,Ioniq 6,2022,2025,native only
"Walmart 5154 (Rosemead, CA)",34.050900000000000,-118.08359000000000,Ioniq 5 N,2025,2025,native only
FINDLAY AUTO ABB STATION2,36.143749000000000,-115.21425500000000,Ioniq 6,2022,2025,native only
FINDLAY AUTO ABB STATION2,36.143749000000000,-115.21425500000000,Kona Electric,2019,2025,native only
"BOA CA9-164 (South Pasadena, CA)",34.115130000000000,-118.15129000000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 1850 E25TH-9,34.014385000000000,-118.23808800000000,Ioniq 5,2022,2024,native only
"Universal City, CA - Tesla Supercharger",34.138042000000000,-118.35927200000000,Ioniq 5,2025,2026,native only
IN-N-OUT ATLANTIC 05,33.977354000000000,-118.18756900000000,Ioniq 6,2022,2025,native only
820 Mound Ave,34.116707000000000,-118.15159800000000,Kona Electric,2019,2025,native only
Queen of the Valley Hospital - DC Fast,34.063410270693500,-117.94577555662200,Kona Electric,2019,2025,native only
Ford Country,36.048478000000000,-115.02823000000000,Ioniq 5,2022,2024,native only
Norm Reeves Honda Superstore West Covina,34.070390000000000,-117.90579000000000,Ioniq 5,2022,2024,native only
Gaudin Ford,36.064736000000000,-115.23674100000000,Ioniq 6,2022,2025,native only
"South Gate, CA - Tesla Supercharger",33.948775000000000,-118.16424000000000,Ioniq 5,2025,2026,native only
3029 S Robertson Blvd,34.032567400000000,-118.39053970000000,Ioniq 6,2022,2025,native only
Chase Bank - 925 N Hacienda Blvd,34.036106000000000,-117.95038500000000,Kona Electric,2019,2025,native only
City of Los Angeles Lot 745,34.101781000000000,-118.33989400000000,Ioniq 5,2022,2024,native only
Barlow Respiratory Hospital,34.074594000000000,-118.24769900000000,Kona Electric,2019,2025,native only
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Ioniq 5 N,2026,2026,native only
City of Pasadena - Arroyo Parkway,34.127455808632000,-118.14781708221200,Ioniq 5 N,2025,2025,native only
The Elysian - Tenants Only,34.066624000000000,-118.24822700000000,Ioniq 5,2022,2024,native only
Central & Walnut - Tesla Supercharger,34.026990000000000,-117.68730100000000,Ioniq 6,2022,2025,native only
CITY_OF_VERNON 3805 SOTO-1,34.007812000000000,-118.21992600000000,Kona Electric,2019,2025,native only
City of Los Angeles Lot 744,33.961488000000000,-118.29207000000000,Ioniq 6,2026,,native only
The Elysian,34.067133000000000,-118.24929700000000,Ioniq 5,2022,2024,native only
660 Mateo Parking Lot,34.035930000000000,-118.23231000000000,Kona Electric,2019,2025,native only
IN-N-OUT ATLANTIC 01,33.977780000000000,-118.18719400000000,Ioniq 5,2025,2026,native only
L344 MB SECOND FLOOR,34.035947000000000,-118.27297300000000,Kona Electric,2019,2025,native only
SCAQMD Offices,34.001519000000000,-117.83051900000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 3805 SOTO-2,34.007973000000000,-118.22009600000000,Ioniq 5,2022,2024,native only
Caltrans - Clyde V. Kane Rest Area - Northbound,35.031900000000000,-116.46912800000000,Ioniq 6,2022,2025,native only
"Ontario, CA - Mills Circle - Tesla Supercharger",34.071708000000000,-117.55616000000000,Ioniq 5 N,2026,2026,native only
"Las Vegas South Premium Outlets (Las Vegas, NV)",36.056570000000000,-115.16854000000000,Ioniq 6,2022,2025,native only
Margarita Plaza,33.975304000000000,-118.23001900000000,Ioniq 5,2022,2024,native only
LADWP LA Kretz Innovation Campus,34.040460000000000,-118.23502000000000,Ioniq 5,2022,2024,native only
ONTARIO 76 CHARGER 2,34.063302000000000,-117.61153300000000,Kona Electric,2019,2025,native only
CSULA Parking Structure E,34.070532000000000,-118.16780200000000,Ioniq 9,2026,,native only
Onyx Towers,34.062740000000000,-118.36189000000000,Ioniq 5 N,2025,2025,native only
ONTARIO HYUNDAI VEHICLE DISPLY1,34.049976000000000,-117.54789800000000,Kona Electric,2019,2025,native only
LOVE'S 374 - CA #374 DC1,34.856826000000000,-117.09190800000000,Ioniq 6,2022,2025,native only
"Baldwin Park, CA - Tesla Supercharger",34.079207000000000,-117.98884000000000,Ioniq 6,2026,,native only
"Alhambra, CA - East Bay State St - Tesla Supercharger",34.095083000000000,-118.12393000000000,Ioniq 9,2026,,native only
CITY_OF_VERNON 3805 SOTO-4,34.007896000000000,-118.21989600000000,Ioniq 6,2022,2025,native only
The Elysian,34.067133000000000,-118.24929700000000,Ioniq 6,2022,2025,native only
ONTARIO HYUNDAI VEHICLE DISPLY2,34.050028000000000,-117.54805700000000,Ioniq 5 N,2025,2025,native only
FH DELIVERY 123FC FH SVC,34.133956000000000,-117.43697400000000,Ioniq 5 N,2025,2025,native only
"Walmart 2886 (Pico Rivera, CA)",33.986450000000000,-118.10495000000000,Ioniq 5 N,2025,2025,native only
76 Gas Station San Gabriel,34.103147800000000,-118.09930910000000,Kona Electric,2019,2025,native only
99 Ranch Chino Hills,34.010479900000000,-117.74055430000000,Ioniq 5,2022,2024,native only
Covina Town Square,34.105800000000000,-117.90569000000000,Ioniq 6,2026,,native only
Resort World Las Vegas,36.135200000000000,-115.16760000000000,Kona Electric,2019,2025,native only
City of Los Angeles Lot 675,34.103853000000000,-118.29105200000000,Kona Electric,2019,2025,native only
"Ralphs 060 (Glendale, CA)",34.142440000000000,-118.23379000000000,Ioniq 5 N,2025,2025,native only
City of Los Angeles Lot 619,34.097765000000000,-118.35316900000000,Ioniq 6,2022,2025,native only
California Institute of Technology - California Parking Structure,34.134066000000000,-118.12636300000000,Ioniq 5,2025,2026,native only
"Target T2179 (Diamond Bar, CA)",34.004360000000000,-117.82223000000000,Ioniq 5,2025,2026,native only
BWP EV CHARGE DCFC BWP LOT 1,34.178578000000000,-118.31621300000000,Ioniq 6,2022,2025,native only
GF4EVA VVILLE M6 DC1,34.556277000000000,-117.28995100000000,Kona Electric,2019,2025,native only
City of Los Angeles Lot 745,34.101781000000000,-118.33989400000000,Ioniq 9,2026,,native only
Las Vegas NV - West Tropical Parkway - Tesla Supercharger,36.271567000000000,-115.26548900000000,Ioniq 5,2025,2026,native only
CITY_OF_VERNON 3805 SOTO-6,34.007957000000000,-118.21989500000000,Ioniq 5,2022,2024,native only
CITY_OF_VERNON 3805 SOTO-1,34.007812000000000,-118.21992600000000,Ioniq 6,2022,2025,native only
Friendly Ford,36.178163000000000,-115.20558200000000,Ioniq 6,2022,2025,native only
"Ralphs 715 (Monterey Park, CA)",34.066010000000000,-118.13393000000000,Ioniq 6,2022,2025,native only
"Las Vegas, NV - Grand Central Parkway - Tesla Supercharger",36.166039000000000,-115.15917000000000,Ioniq 9,2026,,native only
"Hacienda Heights, CA - Tesla Supercharger",34.010078000000000,-117.96116900000000,Ioniq 5 N,2026,2026,native only
"Las Vegas, NV - West Russell Road - Tesla Supercharger",36.086723000000000,-115.21072600000000,Ioniq 6,2026,,native only
RC SPORTS EVHUB NEAR BLG,34.102389000000000,-117.54488900000000,Ioniq 5 N,2025,2025,native only
"Pavilions 2229 (Los Angeles, CA)",34.083640000000000,-118.32747000000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 1850 E25TH-4,34.014472000000000,-118.23798500000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 3805 SOTO-7,34.007973000000000,-118.21989600000000,Ioniq 5 N,2025,2025,native only
Honda DTLA,34.010828320642500,-118.28703020000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-3,34.007876000000000,-118.21990100000000,Ioniq 6,2022,2025,native only
B&D PROP MGMT 2625 ST ROSE,36.014373000000000,-115.10303200000000,Ioniq 5,2022,2024,native only
"City of Industry, CA - Gale Avenue - Tesla Supercharger",33.994491000000000,-117.89956900000000,Ioniq 5,2025,2026,native only
"Barstow, CA - 1503 East Main Street - Tesla Supercharger",34.893641000000000,-117.00244400000000,Ioniq 9,2026,,native only
7-ELEVEN 20101 POMNA DC2,34.067350000000000,-117.71904000000000,Ioniq 5,2025,2026,native only
